id,tweet,cleanTweets
99,CDC Warning: Flu Viruses Mutate and Evade Current Vaccine http://nbcnews.to/1tH4CHC,cdc warning flu viruses mutate and evade current vaccine
100,'Unprecedented': Drug May Help Heal Damaged Spines http://nbcnews.to/1yRvoCt,unprecedented drug may help heal damaged spines
101,Terminally Ill Basketball Player Signs Up for Hospice Care http://nbcnews.to/1yRvpWZ,terminally ill basketball player signs up for hospice care
102,Growth in U.S. Health Spending the Lowest On Record http://nbcnews.to/1tO0CV1,growth in us health spending the lowest on record
103,"Obamacare Bump: 10 Million Got Insurance, Survey Shows http://nbcnews.to/1yOq4yU",obamacare bump number million got insurance survey shows
104,New Labels to Clarify Prescribing in Pregnancy http://nbcnews.to/1zRebaB,nelabels to clarify prescribing in pregnancy
105,IBM Helps You Donate Computer Power to Fight Ebola http://nbcnews.to/1vjzrBJ,ibm helps you donate computer power to fight ebola
106,Divorce Rates Are Lower in the U.S. Why? http://nbcnews.to/1HZHrSH,divorce rates are lower in the us why
107,Dr. Nancy Snyderman 'Sorry' For Violating Ebola Quarantine http://nbcnews.to/1yKH1dv,dr nancy snyderman sorry for violating ebola quarantine
108,Radiation Danger? Kids May Get Unneeded X-Rays http://nbcnews.to/1vgVQQe,radiation danger kids may get unneeded x rays
109,8 Percent of Americans Have Depression But Few Are Treated http://nbcnews.to/1vgVQQ5,number percent of americans have depression but feare treated
110,FDA Reconsiders Ban on Gays Donating Blood http://nbcnews.to/1yKIdyz,fda reconsiders ban on gays donating blood
111,Obama Praises U.S. Ebola Efforts http://nbcnews.to/1ygTDdt,obama praises us ebola efforts
112,Obama to Praise U.S. Ebola Efforts http://nbcnews.to/1rWdB7c,obama to praise us ebola efforts
113,A Death A Minute 30 Years After the Union Carbide Disaster http://nbcnews.to/1ycVPnB,a death a minute number years after the union carbide disaster
114,Obama to Praise U.S. Ebola Efforts http://nbcnews.to/1yJCEAc,obama to praise us ebola efforts
115,4-Year-Old Boy Suffers Mysterious Strokes http://nbcnews.to/1tJjR1W,number year old boy suffers mysterious strokes
116,Montana Clinic Helps With a 'Special Delivery' http://nbcnews.to/1pOqO6p,montana clinic helps with a special delivery
117,U.S. Names 35 Ebola-Certified Hospitals http://nbcnews.to/1vd7prz,us names number ebola certified hospitals
118,Do You Oversleep? Blame Your DNA http://nbcnews.to/1vd7mvP,do you oversleep blame your dna
119,"Circumcision Benefits Outweigh the Risks, CDC says http://nbcnews.to/1FKZhXe",circumcision benefits outweigh the risks cdc says
120,HIV Patients Getting Sicker to Qualify for Housing http://nbcnews.to/12m082N,hiv patients getting sicker to qualify for housing
121,"Hospital Errors Drop, Saving 50,000 Lives: Government http://nbcnews.to/1wjrdzY",hospital errors drop saving number lives government
122,Headed for Disaster: What We Know About Traumatic Brain Injury http://nbcnews.to/11LmJVl,headed for disaster what we knoabout traumatic brain injury
123,"World AIDS Day: AIDS Activists, the New Feminists? http://nbcnews.to/12he4em",world aids day aids activists the nefeminists
124,'No Room for Optimism': WHO Reports Some Ebola Progress http://nbcnews.to/1rNZMgT,no room for optimism who reports some ebola progress
125,Doctors Blame Scooters for Jump in Toy-Related Injuries http://nbcnews.to/12j77Z9,doctors blame scooters for jump in toy related injuries
126,"Most U.S. Babies Sleep in Unsafe Conditions, Report Finds http://nbcnews.to/1vzj8pp",most us babies sleep in unsafe conditions repofinds
127,Ebola Death Toll Leaps Higher  http://nbcnews.to/1rH6BAO,ebola death toll leaps higher
128,Liberia Suspends Election Campaigning Over Ebola http://nbcnews.to/1v2cRSW,liberia suspends election campaigning over ebola
129,WHO Advises Ebola Survivors Abstain From Sex for Three Months http://nbcnews.to/1ylDJx0,who advises ebola survivors abstain from sex for three months
130,WHO Advises Ebola Survivors Abstain From Sex for Three Months http://nbcnews.to/1vuipV1,who advises ebola survivors abstain from sex for three months
131,Sugar Rehab: New Treatment for Not-So-Sweet Addiction http://nbcnews.to/1CoxIot,sugar rehab netreatment for not so sweet addiction
132,Could This Plane Help Save Ebola Patients? http://nbcnews.to/1Fx7I6N,could this plane help save ebola patients
133,First Human Ebola Vaccine Trial Shows It Seems to Work http://nbcnews.to/1ATZhnY,first human ebola vaccine trial shows it seems to work
134,GMO Cattle Produce Serum to Fight Hantavirus http://nbcnews.to/15AqdfO,gmo cattle produce serum to fight hantavirus
135,Grieving Family Hears Son's Heart Beat in Another's Chest http://nbcnews.to/1zvMhRw,grieving family hears sons heabeat in anothers chest
136,Calling It Quits: American Smoking Hits 50 Year Low http://nbcnews.to/1vk3v3C,calling it quits american smoking hits number year lo
137,Half a Million Sign Up for Obamacare in First Week http://nbcnews.to/1vO7GHN,half a million sign up for obamacare in first week
138,Family Hears Dead Son's Heart Beat Inside Chest of Organ Recipient http://nbcnews.to/1xGboij,family hears dead sons heabeat inside chest of organ recipient
139,"Ryan Reynolds, Michael J. Fox Team Up on Parkinson's http://nbcnews.to/15xGiD1",ryan reynolds michael j fox team up on parkinson s
140,All Together: U.S. Ebola Survivors Meet on TODAY http://nbcnews.to/1ttiNis,all together us ebola survivors meet on today
141,Should Toddlers Switched at Birth Be Exchanged? http://nbcnews.to/1rsRllk,should toddlers switched at birth be exchanged
142,"Mom, Can You Drive? Knowing When to Take the Keys http://nbcnews.to/15qUSMj",mom can you drive knowing when to take the keys
143,"Most Americans With HIV Missing Treatment, CDC Says http://nbcnews.to/1CcapOO",most americans with hiv missing treatment cdc says
144,"Most Americans With HIV Skip Treatment, CDC Says http://nbcnews.to/1rcLKoG",most americans with hiv skip treatment cdc says
145,'Incredible Gift': Man Thankful for Double Arm Transplant http://nbcnews.to/1FoqInU,incredible gift man thankful for double arm transplant
146,How Many Calories in a Thanksgiving Feast?  http://nbcnews.to/1zpyqw2,homany calories in a thanksgiving feast
147,Watch Live:  Bilateral Arm Transplant News Conference http://nbcnews.to/1zpueME,watch live bilateral arm transplant news conference
148,6 Things My 'Adoptive' Parents Did Right http://nbcnews.to/1xSaRgQ,number things my adoptive parents did right
149,"Pizza, Popcorn Included in New FDA Calorie Label Rules http://nbcnews.to/1rnDRau",pizza popcorn included in nefda calorie label rules
150,Less Painful Mammograms? New Device May Help http://nbcnews.to/1FmpGsz,less painful mammograms nedevice may help
151,FDA Orders Calorie Counts on Restaurant Menus http://nbcnews.to/11RouQK,fda orders calorie counts on restaurant menus
152,FDA Warns Against Device It Says Can Spread Cancer http://nbcnews.to/15eQdgu,fda warns against device it says can spread cancer
153,A Tale of Two Outbreaks: Why Congo Conquered Ebola http://nbcnews.to/1riUpAh,a tale of two outbreaks why congo conquered ebola
154,Holiday Surprise: What to do When Mom or Dad is Slipping Away http://nbcnews.to/1riACRs,holiday surprise what to do when mom or dad is slipping away
155,Bird Flu Forces Church to Hold Drive-In Service http://nbcnews.to/1v2KyCx,bird flu forces church to hold drive in service
156,Ebola Mappers Track Epidemic in Real Time http://nbcnews.to/1y4ro18,ebola mappers track epidemic in real time
157,How Will Troops Spend 21 Days in Ebola Quarantine? http://nbcnews.to/156xmEe,howill troops spend number days in ebola quarantine
158,Mali Confirms New Ebola Case http://nbcnews.to/1r9Pv8G,mali confirms neebola case
159,"Ebola Epidemic Not Even Close to Over, UN Officials Say http://nbcnews.to/1F9IomV",ebola epidemic not even close to over un officials say
160,"Violence Against Women 'Unacceptably High,' Experts Say http://nbcnews.to/1xcHthf",violence against women unacceptably high experts say
161,TODAY's Geist and Daly Undergo Live Testicular Exams http://nbcnews.to/1AtKiRn,todays geist and daly undergo live testicular exams
162,WHO Reports Plague Outbreak in Madagascar http://nbcnews.to/1AtKjVs,who reports plague outbreak in madagascar
163,The Hidden Downsides of a Gluten-Free Diet http://nbcnews.to/1AsZezl,the hidden downsides of a gluten free diet
164,'Zoning Out Really Bad': Narcolepsy Video Goes Viral http://nbcnews.to/1qH6gNR,zoning out really bad narcolepsy video goes viral
165,'Ripped Apart': Men Experience Pain of Childbirth http://nbcnews.to/1uIVLrJ,ripped apa men experience pain of childbirth
166,WATCH: Men Experience the Pain of Childbirth http://nbcnews.to/1uifwT6,watch men experience the pain of childbirth
167,New Ebola Vaccine Trial Starts in Baltimore http://nbcnews.to/11zqXit,neebola vaccine trial starts in baltimore
168,Kisses for 'Bubble Baby' After Promising New Treatment http://nbcnews.to/1tm1mQP,kisses for bubble baby after promising netreatment
169,Ebola Gives West Africans Temporary Respite in U.S. http://nbcnews.to/11jZjq3,ebola gives west africans temporary respite in us
170,Women Bosses More Prone to Depression: Study http://nbcnews.to/1qzEyCw,women bosses more prone to depression study
171,5 Million Strollers Recalled Over Fingertip Amputations http://nbcnews.to/1HqgHub,number million strollers recalled over fingertip amputations
172,Obesity Costing the Global Economy Trillions http://nbcnews.to/1uejvjE,obesity costing the global economy trillions
173,Texting Neck: Hunching Over Your Phone Stresses Your Spine http://nbcnews.to/1ucpKVd,texting neck hunching over your phone stresses your spine
174,Can Being a Cop Kill You? Study Finds Biggest Heart Risks http://nbcnews.to/1AjKXVx,can being a cop kill you study finds biggest hearisks
175,New Brittany Maynard Video Calls For Action http://nbcnews.to/1qXL40F,nebrittany maynard video calls for action
176,"Bankers' Culture May Encourage Cheating, Study Finds http://nbcnews.to/1Ajd732",bankers culture may encourage cheating study finds
177,Study Reveals Texting Puts Pressure on Spine http://nbcnews.to/1uR8Y30,study reveals texting puts pressure on spine
178,Cuban Doctor Catches Ebola http://nbcnews.to/1qrHqRT,cuban doctor catches ebola
179,Deceased Woman at Hair Salon Tests Negative For Ebola http://nbcnews.to/11tcPr0,deceased woman at hair salon tests negative for ebola
180,Hair Salon Decontaminated Amid Ebola Concerns http://nbcnews.to/1F25Q7s,hair salon decontaminated amid ebola concerns
181,Brittany Maynard Breathes New Life Into Aid-in-Dying Cause  http://nbcnews.to/1vobeAP,brittany maynard breathes nelife into aid in dying cause
182,"Soft Drink Firms Still Target Kids, Report Finds http://nbcnews.to/1qUGVuu",soft drink firms still target kids repofinds
183,"U.S. and Africa Both Need Ebola-Ready Hospitals, Experts Say http://nbcnews.to/11Aprxu",us and africa both need ebola ready hospitals experts say
184,"Sister Finds Brother Shirtless, Dead in Snow http://nbcnews.to/14GjUXA",sister finds brother shirtless dead in sno
185,Cost to Treat Ebola: $1 Million For Two Patients http://nbcnews.to/1u71TWU,cost to treat ebola money million for two patients
186,CDC Shelves Controversial Obesity Website http://nbcnews.to/1xkrGRs,cdc shelves controversial obesity website
187,How Well Do Hotel Maids Really Clean? http://nbcnews.to/1HeXU54,howell do hotel maids really clean
188,Rare Resource: Doctor Who Died of Ebola Is a Big Loss http://nbcnews.to/1uJIdgJ,rare resource doctor who died of ebola is a big loss
189,Tick Spit is the Newest Weapon in the Fight Against Cancer http://nbcnews.to/1t5U5V2,tick spit is the newest weapon in the fight against cancer
190,Bad Credit Linked to Higher Heart Attack Risk http://nbcnews.to/1uGuPtR,bad credit linked to higher heaattack risk
191,What's in a kiss? 80 million bacteria http://nbcnews.to/1umBgkq,whats in a kiss number million bacteria
192,What Does Surgeon's Death Teach Us About Treating Ebola? http://nbcnews.to/1umBesI,what does surgeons death teach us about treating ebola
193,Doctor on Ebola Death: 'We Weren't Able to Get Him Through This' http://nbcnews.to/11kH57A,doctor on ebola death we were not able to get him through this
194,'Gave It Everything': Ebola-Infected Surgeon Dies in Nebraska http://nbcnews.to/1viP96F,gave it everything ebola infected surgeon dies in nebraska
195,'Gave It Everything': Ebola-Infected Surgeon Dies in Nebraska http://nbcnews.to/1Han1FZ,gave it everything ebola infected surgeon dies in nebraska
196,'Gave It Everything': Doctors Discuss Death of Ebola Patient http://nbcnews.to/1sZgp3L,gave it everything doctors discuss death of ebola patient
197,Doctors Discuss Death of Ebola-Infected Surgeon http://nbcnews.to/1xPJP9P,doctors discuss death of ebola infected surgeon
198,"Schools Offer Veggies for Lunch, But Most Kids Don't Bite http://nbcnews.to/1uEVbwk",schools offer veggies for lunch but most kids do not bite
199,Ebola Patient Being Treated in Nebraska Has Died http://nbcnews.to/1qOVpMe,ebola patient being treated in nebraska has died
200,Hair Care: Top Stylist Creates Wigs for Kids With Cancer http://nbcnews.to/1A7Fy3O,hair care top stylist creates wigs for kids with cancer
201,Watch Live: Doctors Discuss the Death of Ebola Patient Dr. Martin Salia - Noon ET http://nbcnews.to/1xI6Udn,watch live doctors discuss the death of ebola patient dr martin salia noon et
202,"Home Cooks Eat Better, New Study Finds http://nbcnews.to/1sWWRwV",home cooks eat better nestudy finds
203,What's In His Kiss? 80 Million Bacteria http://nbcnews.to/1y9Yxqk,whats in his kiss number million bacteria
204,U.S. to Begin Screening Travelers From Mali for Ebola  http://nbcnews.to/1H6slKB,us to begin screening travelers from mali for ebola
205,Snack Tax: Navajo Lawmakers OK Price Hike on Junk Food http://nbcnews.to/1uBmUOi,snack tax navajo lawmakers ok price hike on junk food
206,Energy Drinks Can Be Deadly for Young Children: Study http://nbcnews.to/1BE5ntX,energy drinks can be deadly for young children study
207,4 Things We Get Wrong About Metabolism http://nbcnews.to/1BDiqvH,number things we get wrong about metabolism
208,The Disappearing Boy: Why Won't Landon Eat - or Drink?  http://nbcnews.to/1tXrWzE,the disappearing boy why will not landon eat or drink
209,Ebola Surgeon 'Extremely Critical' in U.S. Hospital http://nbcnews.to/1uhfrmg,ebola surgeon extremely critical in us hospital
210,'We're Ready to Go': Ebola-Stricken Surgeon Lands in U.S. http://nbcnews.to/11cnk1S,we are ready to go ebola stricken surgeon lands in us
211,Obamacare 2.0: New 2015 Enrollment Phase Rolls Out http://nbcnews.to/1sQXE2d,obamacare number nenumber enrollment phase rolls out
212,26 Ways To Avoid Getting Sick This Winter http://nbcnews.to/1zZ7rLr,number ways to avoid getting sick this winter
213,'We're Ready': Ebola-Stricken Surgeon Heads to U.S. http://nbcnews.to/11ap6k7,we are ready ebola stricken surgeon heads to us
214,Deadly Stigma: Why Lung Cancer Is Killing More Non-Smokers  http://nbcnews.to/1BuS1Ag,deadly stigma why lung cancer is killing more non smokers
215,"Mom, Daughter Give Birth at Same Hospital on Same Day http://nbcnews.to/1xBgLSb",mom daughter give birth at same hospital on same day
216,'Hero to Me': Son of Ebola Doctor Praises Dad http://nbcnews.to/1uvnE7y,hero to me son of ebola doctor praises dad
217,Afraid of Needles? Steel-Studded Pill Could Help http://nbcnews.to/14o4gju,afraid of needles steel studded pill could help
218,Ebola Video Game: Training Medics Far From Hazard http://nbcnews.to/1GXRpU0,ebola video game training medics far from hazard
219,Why a Clean Home Could Mean a Clean Conscience http://nbcnews.to/1GXRs1Z,why a clean home could mean a clean conscience
220,Is Arkansas Gov. a Snowplow Parent for Pardoning Son? http://nbcnews.to/1EFJjLV,is arkansas gov a snowploparent for pardoning son
221,New Ebola Patient Coming to U.S. for Treatment http://nbcnews.to/1tOvlAJ,neebola patient coming to us for treatment
222,Don't Lick and Stick: Dirty Contacts Cause Eye Infections http://nbcnews.to/14jsGKL,do not lick and stick dirty contacts cause eye infections
223,While I Was Sleeping: Confessions of an Ambien Zombie http://nbcnews.to/1oS1ETN,while i was sleeping confessions of an ambien zombie
224,Boy Born Without Thumbs Gets Hands Transformed http://nbcnews.to/1zQaJk7,boy born without thumbs gets hands transformed
225,Why My Husband and I Sleep Apart http://nbcnews.to/1zmoFzl,why my husband and i sleep apa
226,Doctors Without Borders to Help Test Ebola Drugs http://nbcnews.to/14hMVIZ,doctors without borders to help test ebola drugs
227,WHO: 'Things Tend to Change Very Quickly in Ebola' http://nbcnews.to/1xvYHJo,who things tend to change very quickly in ebola
228,"I'm 'Scapegoat' for Sterilization Deaths, Doctor Says http://nbcnews.to/10ZWgCY",i am scapegoat for sterilization deaths doctor says
229,'Back in the Fight': American Doctor Helps #FightEbola http://nbcnews.to/1v4xXBL,back in the fight american doctor helps fight ebola
