emotion,emo,file,au1,au2,au3,au4,au5,au6,au7,au8,au9,au10,au11,au12,au13,au14,au15,au16,au17,auc1,auc2,auc3,auc4,auc5,auc6,auc7,auc8,auc9,auc10,auc11,auc12,auc13,auc14,auc15,auc16,auc17,auc18
neutral,2,00026.jpg,1.6,0,0.5,0,0,0.09,0,0.49,0.12,0.23,0.76,3.58,0,1.43,0,0.22,0.43,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
neutral,2,00027.jpg,0.52,0,0.5,0,1.09,0.74,0,1.05,1.25,0.65,0.21,2.32,0,1.43,0.43,0.22,0.48,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
happiness,0,00028.jpg,0.52,0,0.54,0.68,1.58,0.75,0,1.34,1.88,0.63,0.21,1.59,0.14,1.52,0.92,0.35,0.05,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
neutral,2,00029.jpg,0,0,0.27,0.68,1.9,0.65,0.15,1.23,2.31,0.85,0,0.34,0.29,0.88,1.42,0.28,0.05,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
neutral,2,00030.jpg,0,0,0.27,0.68,1.03,0.19,0.59,1.18,1.47,0.43,0.11,0.4,0.29,0.88,1.23,0.28,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1
happiness,0,00031.jpg,0,0,0.21,0,0.99,0.51,0.63,1.59,1.43,0.5,0.11,0.62,0.15,0.04,1.39,0.15,0.2,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1
happiness,0,00032.jpg,0,0,0.35,0,1.41,1.43,0.48,2.01,1.65,0.28,0.11,1.18,0.19,0.42,1.35,0,0.2,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
happiness,0,00033.jpg,0,0,0.6,0,1.82,2.25,0.17,1.91,2.09,0.65,0,1.36,0.19,0.7,2,0,0.2,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0
happiness,0,00034.jpg,0,0,0.72,0,1.52,2.18,0.32,1.49,1.45,0.89,0,1.31,0.19,0.8,1.33,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0
neutral,2,00035.jpg,0,0,0.61,0,0.98,1.67,0.65,1.03,0.83,1.4,0,0.78,0,0.43,1.4,0,0.14,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
neutral,2,00036.jpg,0,0,0.97,0,0.34,0.81,0.53,0.79,0.1,1.03,0,0.66,0,0.14,0.96,0,0.23,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
neutral,2,00037.jpg,0,0,1.12,0,0.19,0.55,0.52,0.52,0.06,0.51,0,0.62,0,0,1.48,0.07,0.6,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
neutral,2,00038.jpg,0,0,1.89,0,0,0.13,0.34,0.18,0,0,0,0.79,0,0,1.48,0.07,0.57,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
neutral,2,00039.jpg,0,0,1.63,0,0.26,0.27,0.75,0.55,0,0.13,0,0.8,0,0,1.68,0.28,1.24,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
neutral,2,00040.jpg,0,0,1.21,0,0.72,0.73,1.08,0.94,0.01,0.31,0,1,0.07,0,1.16,0.21,0.91,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
happiness,0,00041.jpg,0,0,0.5,0,1.2,1.2,1.47,1.62,0.19,0.31,0,0.7,0.27,0,0.9,0.21,0.91,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
neutral,2,00042.jpg,0,0,0.16,0,1.1,0.93,1.18,1.54,0.5,0.62,0,0.88,0.27,0.29,0.36,0,0.26,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
neutral,2,00043.jpg,0.35,0,0.28,0.01,0.67,0.47,0.66,1.27,0.79,0.44,0.58,1.63,0.2,1.29,0.36,0.45,0.22,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1
neutral,2,00044.jpg,0.35,0,0.2,0.01,0.56,0.33,0.51,0.87,0.7,0.44,0.58,1.93,0,1.29,0.1,0.45,0.58,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1
neutral,2,00045.jpg,0.35,0,1,0.01,0.47,1.25,0.94,0.5,0.39,1.11,1.39,1.84,0,1,0.05,0.85,0.68,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
neutral,2,00046.jpg,0,0,0.79,0,0.73,1.25,1.21,0.48,0.17,1.27,0.81,1.01,0,0.21,0.21,0.39,1.46,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
neutral,2,00047.jpg,0.14,0,0.88,0,0.36,0.91,0.96,0.34,0.14,1.63,1.18,0.71,0,0.21,0.88,0.72,1.18,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
surprise,4,00048.jpg,0.14,0,0.6,0,0.28,0,0.42,0.25,0.14,0.52,0.37,0.78,0,0.35,0.83,0.61,1.81,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
neutral,2,00049.jpg,0.48,0,0.6,0,0,0,0.15,0.15,0.28,0.47,0.37,0.35,0,0.14,0.67,0.61,1.27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
neutral,2,00050.jpg,0.33,0,0.79,0,0,0.51,0,0.17,0.3,0.59,0.45,1.54,0.44,0.6,0,0.29,1.07,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
neutral,2,00051.jpg,0.33,0,1.06,0,0,0.51,0.64,0.65,0.45,0.78,0.67,1.7,0.44,0.45,0,0.25,0.42,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
neutral,2,00052.jpg,0,0,1.15,0,0.26,0.51,0.72,1.25,0.53,1.42,0.67,2.06,0.44,0.81,0,0.25,0.5,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
neutral,2,00053.jpg,0,0,1.27,0,0.67,0.77,0.89,1.29,0.65,1.38,0.23,1.09,0.2,0.74,0,0.25,0.58,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
neutral,2,00054.jpg,0,0,0.9,0,1.07,1.34,0.59,1.37,0.62,1.65,0,0.86,0.36,1.08,0,0,0.53,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
neutral,2,00055.jpg,0,0,1.07,0,1.19,2.33,0.52,1.2,0.35,1.59,0.16,1.44,0.51,1.31,0.11,0.53,0.2,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
neutral,2,00056.jpg,0.46,0,0.68,0,0.96,1.57,0.35,1.35,0.68,1.69,0.48,1.81,0.32,0.93,0.7,0.61,0.12,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
happiness,0,00057.jpg,0.46,0,0.29,0,0.65,1.19,0,1.11,0.55,1.97,0.85,1.98,0.33,0.71,0.7,0.61,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
neutral,2,00058.jpg,0.46,0,0.27,0,0.72,1.13,0,1.12,1.36,2.12,0.69,1.49,0.17,0.41,1.43,0.3,0.21,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
happiness,0,00059.jpg,0,0,0.28,0.18,0.54,1.33,0,0.75,0.83,1.71,0.37,1.02,0.17,0.67,0.84,0.22,0.21,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
neutral,2,00060.jpg,0,0,0.28,0.18,0.66,1.37,0.02,0.77,0.83,1.49,0,0.65,0.2,0.55,0.84,0.22,0.23,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
neutral,2,00061.jpg,0,0,0.07,0.18,0.21,0.43,0.02,0.34,0,0.66,0,0.3,0.2,0.54,0.02,0.37,0.19,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
neutral,2,00062.jpg,0,0,0.19,0,0.21,0.24,0.02,0.74,0.21,0.54,0.22,1.29,0.2,0.28,0.56,0.37,0.99,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
neutral,2,00063.jpg,0,0,0.51,0,0.07,0.26,0,0.43,0.44,0,0.49,1.7,0.26,0.29,0.56,0.94,1.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral,2,00064.jpg,0.26,0,0.56,0.15,0.07,0.26,0,0.43,0.44,0,0.49,2.18,0.26,0.01,0.54,1.06,0.87,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
neutral,2,00065.jpg,0.28,0.34,0.56,0.15,0.07,0.56,0,0.17,0.24,0,0.27,1.07,0.26,0.12,0.16,1.74,0.07,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
surprise,4,00066.jpg,0.28,0.34,0.21,0.15,0,0.3,0,0.14,0.01,0.11,0,0.57,0,0.11,0.16,1.17,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
neutral,2,00067.jpg,0.02,0.34,0.14,0,0,0.3,0,0.25,0.01,0.12,0,0.69,0.02,0.15,0.16,0.95,0.15,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
neutral,2,00068.jpg,1.24,0.21,0.32,0.16,0,0.07,0,0.11,0,0.12,0,1.89,0.13,0.34,0,0.37,0.15,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
neutral,2,00069.jpg,1.84,0.37,0.32,0.16,0,0.07,0,0.34,0.16,0.01,0.46,2.2,0.13,0.34,0,0.96,0.7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
neutral,2,00070.jpg,1.87,0.53,0.87,0.16,0.18,0.07,0,0.47,0.7,0.74,0.46,1.57,0.11,0.29,0.18,1.3,0.59,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
happiness,0,00071.jpg,0.63,0.32,0.56,0,0.18,0.03,0,1.05,0.98,1.23,0.46,1.38,0.14,0.24,0.24,1.88,0.59,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral,2,00072.jpg,0.04,0.17,0.56,0,0.18,0.03,0,0.82,0.85,1.23,0.33,1.4,0.14,0.24,0.24,1.29,0.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral,2,00073.jpg,0.02,0,0.86,0,0.06,0.46,0,0.78,0.31,0.7,0.33,1.46,0.14,0.24,0.06,0.68,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
neutral,2,00074.jpg,0.02,0,0.86,0,0.25,0.43,0.05,0.67,0.35,0.56,0.59,0.71,0.4,0,0.05,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
neutral,2,00075.jpg,0.5,0,0.94,0.52,0.25,0.43,0.05,0.88,0.32,1,0.67,0.38,0.4,0,0.41,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
neutral,2,00076.jpg,1,0.22,0.28,0.52,0.29,0.14,0.21,0.79,0.66,1.39,0.67,0.5,0.4,0,0.41,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
neutral,2,00077.jpg,1,0.22,0.28,0.52,0.39,0.21,0.79,0.63,0.43,1.04,0.41,1.24,0,0.11,0.4,0,0.44,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
neutral,2,00078.jpg,0.5,0.76,0.2,0.03,0.56,0.21,0.79,0.62,0.75,0.8,0,1.43,0,0.54,0.04,0,0.44,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
neutral,2,00079.jpg,0.86,0.54,0.96,0.03,0.66,0.7,0.62,0.81,0.41,0.3,0.43,1.42,0.03,0.54,0.04,0.58,0.44,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
neutral,2,00080.jpg,1.7,0.69,1.3,0.03,0.54,0.79,0,0.5,0.32,0.3,1.01,0.83,0.5,0.43,0.15,0.99,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
neutral,2,00081.jpg,2.01,0.15,1.53,0.07,0.82,0.79,0,0.94,0.47,0.59,1.42,0.65,0.5,0,0.91,1.62,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1
happiness,0,00082.jpg,1.58,0.15,0.58,0.07,1.23,0.15,0.09,1.12,0.5,0.49,1.4,0.49,0.52,0,1.66,1.41,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0
happiness,0,00083.jpg,0.74,0,0.67,0.07,1.8,0.82,0.75,1.73,0.83,0.49,0.91,0.07,0.4,0,2.57,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1
neutral,2,00084.jpg,0.43,0,0.71,0,1.34,0.82,0.82,1.09,0.37,0,0.5,0.12,0.45,0,2.94,0.72,0.14,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0
neutral,2,00085.jpg,0,0,0.71,0,1.45,1.5,0.73,1.02,1.02,0.45,0.09,0.06,0.4,0,2.93,0.36,0.98,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0
happiness,0,00086.jpg,0.24,0,0.46,0,0.81,0.84,0.07,0.78,1.11,0.75,0.58,0.72,0.05,0,3.08,0.36,0.98,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0
neutral,2,00087.jpg,0.24,0,0.48,0.4,1.13,1.49,0,0.8,1.45,0.75,1.26,1.43,0.13,0.19,2.91,0,0.84,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
neutral,2,00088.jpg,0.24,0,0.48,1.03,0.56,0.82,0,0.62,1.13,0.29,1.26,1.75,0.13,0.2,2.18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
neutral,2,00089.jpg,0,0,0.31,1.03,0.76,0.89,0,0.74,1.27,0.5,0.68,2.31,0.13,0.97,0.97,0.28,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
neutral,2,00090.jpg,0,0,0.02,0.63,0.44,0.24,0,0.72,0.92,0.5,0,2.04,0.6,0.78,0.03,0.59,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
neutral,2,00091.jpg,0,0,0.02,0,0.42,0.24,0,0.57,0.62,0.79,0.07,2.08,0.66,0.77,0.03,0.7,0.36,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
neutral,2,00092.jpg,0,0,0.35,0,0.34,0.4,0.36,0.5,0.11,0.93,0.27,0.87,0.66,0,0.29,0.42,0.96,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
neutral,2,00093.jpg,0.07,0,0.45,0,0.34,0.82,0.84,0.5,0.14,1.16,0.74,0.5,0.1,0,0.61,0.11,1.36,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
neutral,2,00094.jpg,0.71,0,0.58,0,0.21,0.82,0.84,0.41,0.08,0.98,0.67,0.14,0.04,0,0.61,0.32,1.43,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
happiness,0,00095.jpg,0.82,0,0.54,0,0.32,0.99,0.48,0,0.03,0.93,0.47,0.14,0.04,0,0.36,1.09,1.16,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
neutral,2,00096.jpg,0.75,0,0.44,0,1.05,1.29,0,0.39,0.9,1.53,0,0,0,0.01,0.51,1.42,0.77,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
happiness,0,00097.jpg,0.11,0,0.34,0,1.35,1.29,0,0.7,1.15,1.91,0,0.13,0,0.01,1.15,1.62,0.33,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
happiness,0,00098.jpg,1.32,0.23,0.03,0,1.26,0.72,0,0.77,1.52,1.4,0,0.13,0,0.01,1.94,0.85,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
neutral,2,00099.jpg,1.86,0.23,0.36,0,0.84,0.23,0,1.32,1.27,1.05,0,0.57,0,0,2.14,0.96,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
happiness,0,00100.jpg,2.42,0.23,0.78,0,1.19,0.88,0,1.31,1.86,0.86,0.29,0.74,0.2,0,1.51,0.71,0.04,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0
happiness,0,00101.jpg,1.96,0.02,0.78,0,0.97,0.88,0,1.24,1.68,1.23,0.29,1.02,0.2,0,0.71,1.07,0.04,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
neutral,2,00102.jpg,2.13,0.23,0.59,0,0.75,0.65,0,0.65,1.53,1.06,0.29,0.59,0.2,0,0.51,0.82,0.44,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
happiness,0,00103.jpg,3.22,0.88,0.64,0,0.33,0.62,0,0.42,1.29,0.96,0,0.74,0,0.12,0.58,0.61,0.78,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
happiness,0,00104.jpg,3.67,1.31,0.64,0,1,1.45,0,0.96,2.22,0.8,0,0.46,0,0.12,1.21,0.61,0.78,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
happiness,0,00105.jpg,4.37,1.57,0.82,0.07,0.91,1.73,0,0.6,1.73,0.51,0,0.86,0,0.12,1.17,1.13,0.38,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
neutral,2,00106.jpg,2.86,0.93,0.35,0.07,1.17,1.49,0,1.2,1.75,0.72,0.11,0.4,0,0,2.22,1.24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
happiness,0,00107.jpg,1.59,0.82,0.35,0.33,0.49,0.67,0,1.05,0.9,0.93,0.11,0.4,0,0.56,2.37,0.89,0.01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
neutral,2,00108.jpg,0.68,1.06,0.03,0.96,0.49,0.39,0,1.24,1.02,1.1,0.11,0.26,0,0.91,2.26,0.19,0.01,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
neutral,2,00109.jpg,0.56,1.06,0,1.11,0,0,0,0.62,0.42,0.94,0,0.49,0,1.29,1.45,0.08,0.01,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
neutral,2,00110.jpg,0.51,0.99,0.7,0.84,0,0.44,0,0.45,0.13,0.96,0,0.59,0,0.79,0.78,0.53,0.02,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
neutral,2,00111.jpg,0.91,0.28,1.29,0.15,0,0.72,0,0.26,0.01,0.79,0.18,0.33,0,0.44,0.86,1.31,0.53,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
neutral,2,00112.jpg,1.56,0.28,1.62,0,0,0.72,0,0.21,0,0.52,0.18,0.34,0,0.06,0.76,1.76,0.68,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
neutral,2,00113.jpg,1.56,0,0.95,0,0.53,0.58,0,0.14,0.19,0.36,0.18,0.96,0,0,0.79,1.29,0.8,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
happiness,0,00114.jpg,0.65,0,0.36,0,0.65,0.58,0,0.14,0.2,0.59,0,0.96,0,0,0.54,0.59,0.29,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
neutral,2,00115.jpg,0.29,0.13,0.03,0,0.92,0.61,0,0.4,0.52,0.59,0.29,0.89,0,0,0.47,0.31,0.14,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
neutral,2,00116.jpg,0.29,0.13,0.29,0,0.43,0.71,0,0.41,0.33,0.53,0.29,0.34,0,0,0.52,0.33,0.08,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
neutral,2,00117.jpg,0.3,0.13,0.29,0,0.7,0.62,0,1.11,0.58,0.43,0.58,0.81,0,0,0.79,0.25,0.08,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
happiness,0,00118.jpg,0.01,0.47,0.29,0,0.6,0.59,0.12,1.16,0.46,1.27,0.29,1.25,0,0,0.65,0.02,0.08,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
neutral,2,00119.jpg,0.12,0.47,0.3,0,0.63,0.2,0.12,1.13,0.7,1.5,0.29,1.45,0,0,0.45,0,0.34,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
neutral,2,00121.jpg,0.11,0.47,0.3,0,0.29,0.15,0.12,0.54,0.49,1.37,0.08,1.58,0,0,0,0.75,0.34,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
neutral,2,00122.jpg,0.11,0,0.56,0,0.42,0.15,0,1.06,1.13,1.03,0.08,1.62,0,0.26,0,0.9,0.43,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
happiness,0,00123.jpg,0.19,0,0.26,0,0.35,0.15,0,1.22,1.2,1.08,0.08,1.48,0.06,0.26,0.11,0.9,0.08,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
neutral,2,00125.jpg,0.19,0,0.26,0,0.47,0.3,0,1.56,1.51,1.63,0,1.08,0.3,0.26,0.11,0.15,0.08,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
neutral,2,00126.jpg,0.35,0,0.31,0,0.17,0.47,0,0.92,0.71,1.13,0.42,1.1,0.3,0,0.28,0.22,0.12,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
neutral,2,00127.jpg,0.16,0,0.91,0,0.17,1.15,0,0.64,0.39,0.6,0.42,1.75,0.24,0,0.17,0.56,0.26,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
neutral,2,00128.jpg,0.55,0,0.91,0,0.1,0.84,0,0.54,0.18,0.42,0.52,1.55,0,0,0.93,0.56,0.26,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
